price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
1990000,2018-09-08,00:19:47,44.9954885,39.0762484,233,2,15,19,1,41.2,13.6,1
2200000,2018-09-09,00:00:28,45.040216,38.975996,23,3,5,5,2,52.0,8.0,1
8500000,2018-09-09,00:01:49,45.0362782,39.0157354,23,2,18,22,3,107.0,55.0,1
17990000,2018-09-09,00:02:39,55.7782685,49.1181895,16,3,5,5,4,135.0,40.0,1
2848000,2018-09-09,00:03:14,55.7852662,49.1901858,16,3,3,9,1,35.7,8.5,11
7750000,2018-09-09,00:05:20,59.9236471,30.347787,78,3,3,4,2,62.0,12.0,1
1847856,2018-09-09,00:05:23,45.052207,39.034153,23,2,8,16,1,36.5,10.0,1
2250000,2018-09-09,00:06:36,55.805172,38.1851957,50,1,13,17,1,43.7,12.2,1
3800000,2018-09-09,00:06:41,56.0667658,37.8482253,50,3,4,9,1,50.5,15.5,1
1325000,2018-09-09,00:07:18,47.2037697,39.6312142,61,3,4,5,1,30.0,5.0,1
850000,2018-09-09,00:07:50,47.2037697,39.6312142,61,3,5,5,1,22.0,14.0,1
850000,2018-09-09,00:08:00,47.2037697,39.6312142,61,3,5,5,1,21.0,14.0,1
4250000,2018-09-09,00:09:34,56.1935167,36.9670568,50,3,3,10,2,66.0,12.0,1
5400000,2018-09-09,00:09:36,55.4274344,37.532152,50,3,4,4,3,71.0,8.5,1
2050000,2018-09-09,00:11:08,63.5725037,53.6658648,11,3,3,5,1,33.0,5.0,1
2750000,2018-09-09,00:12:41,47.234097,39.714565,61,3,2,9,2,50.0,6.0,1
4200000,2018-09-09,00:13:21,55.7872305,49.1905127,16,1,16,19,2,54.0,10.0,11
5000000,2018-09-09,00:14:06,55.588099,37.89985,50,1,2,9,2,52.3,7.8,1
1450000,2018-09-09,00:15:25,44.8439132,37.6669661,23,2,4,5,1,30.0,9.0,1
6280000,2018-09-09,00:15:35,45.0379452,38.9463988,23,2,8,16,3,101.3,17.6,1
2700000,2018-09-09,00:16:02,44.0737297,39.1224119,23,2,9,18,1,47.0,12.0,1
